name,letter,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,pressed for,time between keypresses,mean for pressed time,mean for time between keypresses,std for pressed for,std for time between keypresses
ANDREW,a,990215,0,804634,0,1086567,0,750289,0,1107084,0,657419,0,791267,0,779068,0,883856,0,798334,0,864873,0,149402,0
ANDREW,P,615342,1552579,494400,3023832,574403,771937,601326,972296,587915,394795,753129,1699571,455117,1419233,659583,939114,713535,1004114,935314,1156146,639006,1293362,137554,719023
ANDREW,p,1127206,833550,968342,894970,875661,666406,594233,698783,870690,649128,803604,559011,601173,865418,728171,802762,582042,734864,418489,1490580,756961,819547,212838,258346
ANDREW,l,1190746,5968888,873366,2898693,819055,447998,6567,326682,906029,44198,86411,891917,682828,1153970,1059567,4617442,669912,934997,601316,1342443,689580,1862723,383549,1993500
ANDREW,E,1122516,588161,827018,78771,716660,232120,820239,341180,632756,80705,634415,698671,665136,280213,815267,254693,502651,137125,952132,911843,768879,360348,178819,281310
ANDREW,u,962397,0,1030637,0,746974,0,739223,0,796089,0,9059,0,849981,0,898339,0,659003,0,918829,0,761053,0,287262,0
ANDREW,n,1001353,1593925,893024,1178805,943913,493016,697174,1213160,860755,46566,842757,439635,962927,247746,964101,513966,825304,1474789,842329,1183141,883364,838475,89698,548777
ANDREW,I,906754,12822381,743754,1709388,787492,1652225,764857,1319503,714721,1053423,779776,1218534,904954,1131566,876030,939098,802131,1226419,374143,1199344,765461,2427188,152701,3660501
ANDREW,v,567597,847753,707470,1008461,712434,1241532,778707,312385,801099,94666,768845,540601,663754,406003,795730,19893,659434,933791,879834,340950,733490,574604,89532,411991
ANDREW,e,1664924,1923841,1512515,202185,1405051,2187668,1749638,1951361,1294730,1770927,1467710,1585918,1234385,1990335,1583858,1500416,1500072,2000099,1343908,1766112,1475679,1687886,162584,560723
ANDREW,r,764229,69807,1080777,135299,807460,201430,1273285,962023,931305,550170,855331,337609,888689,310030,709689,519909,957342,410421,717804,434961,898591,393166,174739,254771
ANDREW,s,1046372,36349800,910884,2994500,1192497,3179372,961104,1363972,1157594,2204638,1025580,1224261,996750,7192021,974581,7427607,1067133,2084266,1033815,1285740,1036631,6530618,86306,10723832
ANDREW,i,624508,2811464,617092,2515811,656923,1922049,613659,2512193,572379,1737180,704167,2399637,744123,2017513,667742,1720158,2619105,2136172,786948,1728006,860665,2150018,621250,389847
ANDREW,t,612850,506650,1482223,142059,721039,447494,725613,325666,742073,159900,839508,1196741,616778,223387,664601,103225,9612,19953,668612,157437,708291,328251,353854,341434
ANDREW,y,1075599,2151587,1156342,1461989,1059299,4152863,927005,1804251,919235,1348104,1171360,958535,821034,2114223,835891,1307629,902255,1075708,858134,2033415,972615,1840830,131669,918313
GEORGI,a,774494,0,832017,0,606885,0,845314,0,780624,0,768710,0,598824,0,858162,0,787673,0,938988,0,779169,0,106125,0
GEORGI,P,552108,569922,710897,847331,709161,544842,628982,1040597,619513,587524,706131,446099,637666,697992,773178,455822,708733,933117,628758,668991,667513,679224,64526,201781
GEORGI,p,525085,1128788,787313,941092,394958,1023108,459339,1033757,539158,951376,861772,795626,691307,991969,632565,940960,226953,918544,470925,795803,558938,952102,189477,102634
GEORGI,l,453844,828492,798334,440219,560572,1332648,613062,1166030,540630,865082,789386,223442,464730,552357,715368,758605,703607,945595,625532,1478397,626507,859087,123730,393580
GEORGI,E,786639,1616298,623986,1349738,532982,1145733,630885,760947,535916,834544,638782,1179190,629845,614834,641995,536366,634178,1891926,546359,722502,620157,1065208,73864,451336
GEORGI,u,683769,0,677411,0,753347,0,748832,0,846737,0,773673,0,766006,0,683149,0,777907,0,785322,0,749615,0,54096,0
GEORGI,n,782535,1055253,624350,1037272,693338,1274666,680793,1089878,776516,862144,629113,988407,804057,987093,958421,733751,787556,1017940,707473,1064908,744415,1011131,99684,141990
GEORGI,I,786255,725421,790539,842241,864354,1014315,875152,1114481,869853,459465,874533,847378,774875,843600,851330,751353,787999,977393,874552,831904,834944,840755,43792,179669
GEORGI,v,793151,1508601,708766,1668543,672759,3239583,710385,1467125,800017,1487933,686687,1682689,777221,1703148,789266,1580571,872499,1371414,780857,1208339,759161,1691795,62370,564775
GEORGI,e,708196,784421,795134,453052,710641,512413,699656,820877,623328,1091474,547115,988439,644018,745265,695366,937598,538485,739342,629353,750573,659129,782345,78890,196966
GEORGI,r,713712,240441,608350,494698,698349,509677,712102,379092,635248,509823,627576,545496,702508,373757,634701,403882,700188,454892,624307,545734,665704,445749,42704,96695
GEORGI,s,636220,1046260,787889,2059177,793104,887905,629722,893947,539410,2773095,621232,1174997,635801,931246,463077,980129,549003,1078691,628307,1030391,628377,1285584,102355,625296
GEORGI,i,783581,1725334,777927,1416209,857939,1775935,702165,2899450,705391,677836,722744,1983921,708186,1727512,699294,2532707,789411,2273203,778632,2503537,752527,1951564,52924,640017
GEORGI,t,554521,1967767,628319,2214740,620983,1926694,640122,1931600,702251,1649407,628307,1785829,558829,1931507,643143,1655942,605018,1875676,629716,2025251,621121,1896441,42401,169282
GEORGI,y,695708,1111787,622135,995354,627933,975437,623222,983416,620470,1020631,628319,1119975,630309,1046660,799144,977228,705945,1100956,703480,909836,665667,1024128,59235,69452
ZOFIA,a,708358,0,956108,0,1040066,0,1048278,0,852032,0,1263700,0,926296,0,1021988,0,877277,0,642434,0,933654,0,178625,0
ZOFIA,P,529538,2011163,716926,2122646,828352,1378969,730794,1643625,663384,985729,847291,1193299,736613,6558848,832268,1564242,572181,2012553,343012,4015671,680036,2348675,159314,1700578
ZOFIA,p,534158,957102,1041497,809326,1017551,835175,606414,1066250,456206,1471654,1424603,1193299,1170512,805944,1461825,787821,1127346,1068097,734539,1194808,957465,1018948,359150,223917
ZOFIA,l,562202,0,961980,339229,1013786,310098,1273064,1273080,1010591,1548490,1530084,-288018,1861370,-246205,1638539,-213760,1526393,-113035,1471825,-158384,1284983,245150,392458,654551
ZOFIA,E,692714,1370904,997266,318291,916096,246717,943228,0,193590,193590,1137988,-362227,882061,-400091,939837,-454957,1026096,-303788,677122,-195178,840600,41326,267168,546769
ZOFIA,u,546830,0,599852,0,625810,0,625679,0,647395,0,551080,0,589021,0,700922,0,608284,0,553544,0,604842,0,48408,0
ZOFIA,n,808701,982859,805203,880994,832365,1089739,644741,925046,822674,781777,679529,1009348,660595,1050000,830522,882232,759909,1000000,791704,1130000,763594,973200,73840,106418
ZOFIA,I,776394,567625,816999,544762,778208,536294,819923,655022,822674,674739,500049,821514,763874,754535,928881,489533,713308,671463,817399,823936,773771,653942,111084,119294
ZOFIA,v,709911,832118,683610,660195,705720,659242,689262,837716,667505,677159,723401,789180,782374,553585,737392,516301,680888,677791,714305,605176,709437,680846,33302,110121
ZOFIA,e,823970,787811,775088,887414,873273,757451,992376,809181,1004133,816376,833160,814416,845300,635312,822518,673146,833728,827760,730415,629757,853396,763862,85874,88235
ZOFIA,r,551993,551993,473681,994195,715543,803904,668117,836872,660769,671846,670204,836575,749754,674770,682236,818958,677027,829754,533358,802933,638268,782180,88060,121159
ZOFIA,s,1001889,1085851,896196,1028890,996225,843679,999346,1155709,1141861,1040000,1000000,1063857,1160000,1010000,917546,1060000,1000000,801234,1050000,1150000,1016306,1023922,83771,116690
ZOFIA,i,653130,692271,666547,780072,817389,353052,625550,453561,657828,501146,693074,593861,737368,536604,709349,632889,630053,795513,784772,628612,697506,596758,64949,140324
ZOFIA,t,655839,836678,763902,567373,753775,584383,840244,771409,796545,731810,784852,690367,715204,626267,814355,686981,764939,495745,766169,599914,765582,659093,51648,103522
ZOFIA,y,1650501,1650501,755200,1070446,702394,1125204,785291,1157760,801232,1000000,684234,1154484,681129,1120000,734122,1080000,626501,1140000,706620,1160000,812722,1165840,298920,177488
LUUK,a,1303291,0,1304134,0,1132641,0,1119952,0,1212736,0,1043786,0,1199612,0,877774,0,1037833,0,1036188,0,1126795,0,133498,0
LUUK,P,722338,1775082,639456,479512,720504,157631,718312,159492,878806,1402082,641858,798822,479055,481285,558055,1442378,638937,962267,477959,1685348,647528,934390,122354,613069
LUUK,p,637719,960548,638976,959881,718064,1279892,639983,719935,715730,1138632,638843,879218,398483,1121500,640403,857901,560601,960495,560867,961162,614967,983916,92176,159578
LUUK,l,957686,1127102,799486,959636,802399,1442386,895018,882014,685991,1277959,721689,1040127,481761,1698988,799971,1121469,797668,1120017,880343,1364084,782201,1203378,132329,245618
LUUK,E,801611,478143,960420,77684,721189,0,642494,0,846797,0,722345,78292,1599300,1617544,962145,39859,720051,0,881988,939570,885834,323109,272761,547481
LUUK,u,939662,0,787941,0,927511,0,863619,0,953430,0,762450,0,954800,0,617342,0,701291,0,861325,0,836937,0,116474,0
LUUK,n,950451,2956379,942602,1965110,876533,1871543,958183,1575605,869572,195835,784893,2102715,863653,2866092,719068,2235996,788059,1569064,856517,1420023,860953,1875836,78672,785407
LUUK,I,859728,981681,1012968,1072819,867717,917482,944257,1536285,858503,1108049,790475,1067152,940726,1168087,857720,1214705,956479,980086,792995,739289,888157,1078564,72867,210087
LUUK,v,867690,508540,950550,0,947392,379021,955658,688773,945014,438957,1034159,220239,99724,20030,880314,281860,902916,30249,830954,20280,841437,258795,266724,242508
LUUK,e,1258846,1113703,1177206,1166887,1258902,1278091,1176791,1296211,1260684,1099920,1027935,1227061,1268888,1163801,1346968,1057217,1177049,1229106,1096473,1200934,1204974,1183293,93465,77747
LUUK,r,708346,-468620,777917,-37896,942660,-628319,936344,-618350,939399,-468644,1182524,-469406,1177472,-629014,1027836,-628937,927535,-538558,1016783,-617241,963682,-510499,150305,180836
LUUK,s,1028254,1040694,1026777,851849,954331,1856953,1107819,1053105,1269589,1228737,1157070,1208720,1212223,2122909,1110071,807838,1042409,907151,1270019,1023513,1117856,1210147,108288,437428
LUUK,i,872343,538564,1019017,840639,1117875,249349,789198,468505,959146,2154205,935440,-19893,869654,-19613,862840,169896,793076,310444,797956,458730,901655,515083,107264,632662
LUUK,t,870582,483174,681905,20020,1445145,1088971,793060,418886,864842,827840,770817,558015,869846,2301804,713929,478669,708113,498315,708675,1230024,842691,790572,223877,635133
LUUK,y,787893,579416,78905,1385943,867714,-9973,787956,588080,787839,745507,778761,449231,867754,598408,799546,468729,792802,567408,797791,259947,734696,563270,232727,358187
